date,AveragePrice,InflationRate,InterestRate,MortgageRate,SupplyRate,UnemploymentRate,PopulationGrowth
2021-03-01,414700.0,3.1,0.01250687,3.0825,4.2,6.1,332007.0
2021-04-01,434800.0,3.4,0.11804694,3.06,4.7,6.1,332073.0
2021-05-01,445300.0,4.6,0.03694758,2.9625,5.4,5.8,332144.0
2021-06-01,431900.0,4.2,-0.00566485,2.975,5.8,5.9,332231.0
2021-07-01,462100.0,4.7,0.03504108,2.868,6.0,5.4,332358.0
2021-08-01,470000.0,4.6,-0.26101879,2.8425,6.5,5.2,332489.0
2021-09-01,470600.0,4.6,-0.19473087,2.9,6.1,4.8,332594.0
2021-10-01,487700.0,4.8,0.08790114,3.0675,6.9,4.5,332692.0
2021-11-01,498800.0,4.9,0.16399788,3.0675,6.2,4.2,332790.0
2021-12-01,491000.0,4.8,0.09168917,3.098,5.6,3.9,332876.0
2022-01-01,501200.0,4.9,0.3194951,3.4450000000000003,5.7,4.0,332918.0
2022-02-01,522200.0,4.9,0.44159289,3.7625,6.0,3.8,332959.0
2022-03-01,511800.0,5.4,0.34708992,4.172,7.0,3.6,333056.0
2022-04-01,562400.0,5.4,0.94940027,4.9825,8.4,3.6,333184.0
2022-05-01,521500.0,5.3,1.20389776,5.23,8.3,3.6,333317.0
2022-06-01,467200.0,5.3,1.02509351,5.522,9.4,3.6,333460.0
2022-07-01,556700.0,5.2,1.06217493,5.4125,10.1,3.5,333624.0
2022-08-01,521800.0,4.8,0.8556253,5.2225,8.5,3.7,333799.0
2022-09-01,524800.0,4.7,1.20424868,6.112,10.1,3.5,333976.0
2022-10-01,533400.0,5.0,1.79733203,6.9,9.5,3.7,334141.0
2022-11-01,543600.0,4.9,1.93071305,6.805,9.4,3.6,334287.0
2022-12-01,528400.0,4.4,1.57612515,6.364,8.7,3.5,334420.0
2023-01-01,474400.0,3.9,1.78309897,6.2725,8.1,3.4,334533.0
2023-02-01,498700.0,4.1,1.42020217,6.2575,8.4,3.6,334637.0
